E2_FILIAL;E2_PREFIXO;E2_NUM;E2_PARCELA;E2_TIPO;E2_FORNECE;E2_LOJA;E2_VENCTO
010101;;DB31024;;BOL;41644220;0017;31/10/2024
010101;;DB30924;;BOL;41644220;0017;31/10/2024
